,pronostico
0,285.49223393281466
1,302.6983006212543
2,213.9365888929893
3,197.27863521076048
4,198.07713118491722
5,210.96737107924758
6,171.48525864548304
7,175.46258922044652
8,105.45005233622092
9,152.09756085778608
10,106.72586154632614
11,88.67766184504028
12,103.05341607062724
13,81.64551772659807
14,78.34641626713608
15,76.89756058174207
16,89.51007810838075
17,71.60842465645891
18,55.465988702553425
19,59.731023396973555
20,48.326121165726995
21,52.15571298115982
22,73.70984840525057
23,38.89610410448128
24,43.345492037251454
25,39.388610803293275
26,33.278321210687665
27,25.14809606400909
28,27.373761705344748
29,27.92739559195656
30,25.31411997942782
31,28.939041716634947
32,23.98182112105962
33,20.02096485321273
34,23.0648249699759
35,21.28317061400989
36,21.686724887801045
37,19.009053726275095
38,23.956425071215044
39,22.063160597062513
40,23.82794314252308
41,19.522009766092374
42,22.05388551798884
43,16.50186735153188
44,27.73924398789064
45,25.339162692926735
46,20.62583250994578
47,23.71284382792313
48,22.830430471671242
49,25.792007386937975
50,27.424995475465984
51,22.149595500620496
52,29.970209674411254
53,30.697420040830362
54,32.14936741924893
55,40.904467893233765
56,41.93492917831875
57,53.08154254088514
58,74.60542354037842
59,52.15288629039451
60,57.988677709462635
61,68.59711565054
62,78.5045784488638
63,91.8960259495181
64,77.49359482983353
65,78.97897665996052
66,70.96190747798074
67,106.2287173079773
68,137.13275077693453
69,137.23707333299174
70,116.89572074834844
71,136.9101930462096
72,150.6711420303417
73,145.78670872197313
74,183.73551808373003
75,146.44197097500646
76,162.715671381326
77,213.04657880530564
78,191.83601881032965
79,193.73679168182753
80,259.98165894519786
81,249.7173706047969
82,332.83532921786207
83,372.6336776809956
84,323.9717986528017
85,353.0661316933558
86,357.445647363771
87,353.67815441108854
88,371.5199173524204
89,335.533803056739
90,379.7118438584605
91,364.8579372231041
92,436.8181744622361
93,510.7210990968702
94,534.9921481003772
95,502.0757537252572
96,557.9023884191253
97,601.4583032919802
98,560.515995284478
99,554.9199646594643
100,582.5835946693829
101,582.4940128639964
102,633.6665343380646
103,647.4023081075682
104,686.2336191596634
105,747.2583963533204
106,760.5169462561271
107,806.6561224752109
108,696.0514173393946
109,743.3265794419322
110,731.4030679187333
111,834.0989007064484
112,917.0737857039218
113,829.6979308947949
114,689.6799735411806
115,819.4514308310461
116,860.1585106873031
117,922.6047913995725
118,1033.2761169991875
119,1064.5256692471607
120,989.2284352254943
121,1072.8178549412828
122,981.9012331749013
123,1026.1423665978455
124,1099.7229822346694
125,925.0162236246408
126,994.6122652914154
127,1109.5791891793504
128,992.0776953498832
129,1001.5517248696857
130,1015.9475530164107
131,1029.5500969000775
132,902.6492048120683
133,1022.6608994169778
134,1012.9538224936886
135,987.2719897960328
136,1017.0109187486855
137,953.6424301742338
138,926.3582281907541
139,967.1177950569833
140,879.7834407058308
141,914.1737113963221
142,965.5547233978534
143,944.4692003021992
144,887.0946101197393
145,909.760120852072
146,953.0274703481277
147,922.4556724199416
148,862.9736296872921
149,987.0949682868553
150,853.225499497341
151,806.9100388066134
152,932.2200008729892
153,885.8543112123732
154,836.3317931802289
155,858.8121777509555
156,820.4227524452756
157,911.7418187884876
158,921.2750431879496
159,888.654678419931
160,817.9860290670903
161,794.3201072016952
162,755.0061407717535
163,763.5973311374031
164,821.0854568450894
165,825.8751297622554
166,769.2866108126098
167,817.890915339542
168,769.9527464395928
169,808.0419573108275
170,759.9743375676761
171,759.9639734949433
172,806.2918216610707
173,827.8815722846283
174,721.0287042648973
175,816.9442223727813
176,816.6070456440513
177,798.8919869079223
178,803.0302953136179
179,784.2202279191957
180,726.8922394882006
181,931.1522405199152
182,897.5632152020203
183,821.4493491140798
184,809.0330933648162
185,812.5476582236878
186,695.551082032174
187,697.4505851011796
188,842.4587116646023
189,853.808625927055
190,843.1431020826313
191,807.1113466686749
192,830.7250575681178
193,815.6475497556406
194,794.3351460799075
195,860.7218502816598
196,849.6985292202085
197,827.0481015331312
198,744.2456291448657
199,951.6437831349871
200,987.3629959885628
201,799.2993395474293
202,838.8396420606203
203,814.0441204607796
204,800.0299894223382
205,727.9012135067649
206,767.3820782215588
207,810.4213960339721
208,884.8609502435829
209,775.2080034822953
210,677.2401215490831
211,747.7883228893803
212,818.0242501221063
213,817.575314211419
214,731.1622512563022
215,813.532069845348
216,749.334485472062
217,842.9271804501484
218,753.6942933247208
219,828.4585926206187
220,873.6997507149971
221,774.2189984881414
222,773.278105206242
223,857.1581109410565
224,836.7430656448207
225,841.1293057475643
226,757.9496927026211
227,751.4636133437609
228,910.472502133734
229,829.5529967425081
230,870.8968549442158
231,868.9007254264319
232,899.1645134370465
233,916.0204790157375
234,795.3042924672591
235,805.5923923648295
236,882.6197930118421
237,883.7782283046222
238,912.3698962264265
239,883.4928871219771
240,912.5050805039252
241,894.3604089385124
242,800.5790685826192
243,814.6571755831473
244,826.3736155745416
245,789.2920343874937
246,842.429848501866
247,776.2988328341249
248,779.906308589265
249,861.4984173188637
250,782.7355831266023
251,875.7782517683638
252,791.4316653891004
253,795.5051034500844
254,771.0168933764445
255,780.6690513419449
256,795.3284021519702
257,755.8453139025947
258,730.8209904562956
259,693.0572837924032
260,729.4853390433038
261,674.1610492571224
262,546.85285421753
263,608.2040241352188
264,641.6622487546533
265,554.7299138725405
266,563.890434677892
267,533.805732985725
268,514.6572880710855
269,514.2651509779636
270,458.22903199816017
271,446.35299991701424
272,391.1701661284671
273,397.69593509653
274,400.0650773777267
275,359.7925515387125
276,355.4592787625361
277,346.9591104619476
278,305.7301914693081
279,305.11392871542745
280,270.07404915343335
281,227.43045976684286
282,232.02343475708213
283,236.26360340617617
284,206.83925421877214
285,210.35154999579896
286,192.31637957225945
287,157.19090428052834
